t,[s]	T,[C]
30	73.3
90	73.2
150	69.5
210	68
270	64
330	66
390	63.5
450	61.1
510	59.4
570	59.5
630	57.6
690	56.1
750	55.1
810	53.9
870	54.1
930	52.6
990	50.4
1050	49.9
1110	49.2
1170	49.2
1230	47.5
1290	46.7
1350	46.5
1410	45.7
1470	44.3
1530	42.8
1590	43.3
1650	43
1710	42
1770	42.1
1830	41.4
1890	40.3
1950	40.5
2010	40
2070	39.1
2130	38.9
2190	37.8
2250	37.1
