t,[s]	T,[C]
60	76.3
120	72.9
180	71.1
240	69.3
300	68
360	66.2
420	65.1
480	63.6
540	62.9
600	61.5
660	59.3
720	59.3
780	57.32
840	56.1
900	56.2
960	54.2
1020	53.8
1080	52.9
1140	52.3
1200	51.5
1260	51.2
1320	50
1380	49.8
1440	48.6
1500	48.3
1560	47.4
1620	46.9
1680	46
1740	45.2
1800	44.3
1860	43.5
1920	43.7
1980	43.1
2040	42.7
2100	42.6
