t,[s]	T,[C]	m,[g]
0	80	241.94
30	78	241.51
60	77.2	241.25
90	75.9	240.95
120	75	240.7
150	74	240.45
180	72.9	240.2
210	72.1	240
240	71.4	239.75
270	70.5	239.55
300	69.9	239.36
330	68.9	239.17
360	68.4	239
390	67.4	238.8
420	66.6	238.65
450	66.1	238.48
480	65.5	238.33
510	64.7	238.18
540	64.2	238.04
570	63.6	237.88
600	62.9	237.75
630	62.4	237.63
660	61.7	237.5
690	61.1	237.37
720	60.7	237.25
750	60.2	237.13
780	59.6	237.02
810	59.2	233.96
840	58.6	236.81
870	58	236.72
900	57.5	236.6
930	57.1	236.51
960	56.6	236.4
990	56.2	236.31
1020	55.7	236.23
1050	55.2	236.11
1080	54.8	236.04
1110	54.5	235.95
1140	53.9	235.87
1170	53.8	235.79
1200	53.3	235.72
1230	52.9	235.62
1260	52.4	235.56
1290	52.2	235.48
1320	51.7	235.41
1350	51.3	235.34
1380	50.9	235.26
1410	50.7	235.2
1440	50.1	235.13
1470	50	235.07
1500	49.6	235.01
1530	49.2	234.93
1560	49	234.88
1590	48.5	234.82
1620	48.5	234.77
1650	48	234.71
1680	47.8	234.65
1710	47.4	234.6
1740	47.9	234.34
1770	46.8	234.49
1800	46.5	234.43
1830	46.1	234.38
